Имя пользователя,Ссылка,Время,Текст,Хэштеги
Topmember,@Topmember,21 мар. 2020 г.,"Биолог СПбГУ рассказал, так ли опасен коронавирус и почему COVID-19 рано или поздно переболеет вся планета - Санкт-Петербургский государственный университет https://spbu.ru/news-events/novosti/biolog-spbgu-rasskazal-tak-li-opasen-koronavirus-i-pochemu-covid-19-rano-ili…",
Business Mir,@Business_Mir,21 мар. 2020 г.,"#Италия перешагнула рубеж в 4000 умерших от #COVID19. В #Бергамо умерла 60-летняя гражданка #Украина и 38-летний #итальянец, ставший нулевым пациентом. #коронавирус #CoronaVirusitaly ",#covid #covid19 #коронавирус
KupetZ,@kupets23,21 мар. 2020 г.,Местные в Буэнос-Айресе шутят по поводу соблюдения карантина. ,
БЕЛТА,@beltanews,21 мар. 2020 г.,,
Мир 24,@Mir24TV,21 мар. 2020 г.,В Узбекистане запретили свадьбы и поминки с большим количеством людей. Ранее страна временно прекратила транспортное сообщение с другими государствами,
Центр ПРИСП,@prispinfo,21 мар. 2020 г.,На жительницу Липецка подали в суд за фейки о коронавирусе,
Cобытия дня в России,@smnewsru,21 мар. 2020 г.,Россиянам посоветовали не ездить в Мексику из-за распространения коронавируса,
Харків Times (Kharkiv Times),@KharkivTimes,21 мар. 2020 г.,Подтвержден диагноз COVID-19 у первой жительницы Харьковской области. https://times.kharkiv.ua/2020/03/20/podtverzhden-diagnoz-covid-19-u-pervoj-zhitelnitsy-harkovskoj-oblasti/…,
Илья Кабанов,@eliakabanov,21 мар. 2020 г.,Как ученые работают над вакциной против COVID-19,
MIGnews,@mignewsfeed,21 мар. 2020 г.,В РФ девять пациентов победили COVID-19:,
Елена Воронина,@Vronin3,21 мар. 2020 г.,Эксперт открыл главную тайну COVID-19: США запатентовали коронавирус ещё в 2015 | InfoRuss,
Андрей timeoftheox,@OxTimeofthe,21 мар. 2020 г.,"Как педиатр может работать над вакциной? Это все равно, что окулист будет вам делать УЗИ брюшной полости или я уже отстал от жизни? ",
Asteroid Belt,@Aster0id_Be1t,21 мар. 2020 г.,Премьер-министр Японии исключил проведение Олимпиады без зрителей.,
Денис Добровольский,@Denis_GAN,21 мар. 2020 г.,В ответ ,
Горячая линия ДНР,@HotlineDNR,21 мар. 2020 г.,Открытым текстом 20.03.2020,
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,Российские тесты на COVID-19 представят на государственную регистрацию http://zdravmedinfo.com/pharmnews.html?article=135355… #новости #фармация,
UKR Tennis Portal,@Tennis_UKR,21 мар. 2020 г.,Серена Вильямс: Теперь все сводит меня с ума #WTA #коронавирус #СеренаВильямс http://tennisua.org/serena-vilyams-teper-vse-svodit-menya-s-uma/?utm_campaign=serena-vilyams-teper-vse-svodit-menya-s-uma&utm_medium=twitter&utm_source=twitter…,#коронавирус
Alex Golubev,@AlexGolubev12,21 мар. 2020 г.,Мишустин заявил о шести разработанных в РФ вакцинах от COVID-19 https://interfax.ru/russia/700160,
Consulate General of Russia in New York,@rcgnewyork,21 мар. 2020 г.,О мерах руководства штата Нью-Йорк по борьбе с распространением коронавируса,
Все на сайт,@vsenasite,21 мар. 2020 г.,"Так бы выглядели #логотипы известных нам компаний, если бы они были на #карантине #COVID19  #коронавирус #pandemia",#covid #covid19 #коронавирус
RFI на русском,@RFI_Ru,21 мар. 2020 г.,COVID-19: Во Франции от коронавируса с начала эпидемии скончались 450 человек https://rfi.my/5aha.t,
ПРЕДПЕНСИОНЕР,@NAIL_Captain,21 мар. 2020 г.,"Это обычное инф.заболевание, просто пока с недоказанными по своей эффективности методиками лечения, так как оно выявлено недавно. Статистика по смертности COVID-19 (около 4 процентов) хотя и примерно в 4 раза выше, чем у сезонного гриппа и его последствий, но не является какой-то",
AS74,@AS7404542949,21 мар. 2020 г.,"Со всем плохим что несет с собой #COVID19 есть один позитив. Это индикатор реакции на беду. Все видят то, как другие решают проблему. Перед вирусом все равны. Для него нет вертикалей власти. Косить будут и тех кто служит режимам и их родных. Может это что то изменит в их матрице?",#covid #covid19
Manana Sologashvili,@mananasolog,21 мар. 2020 г.,"Мы все можем внести вклад в то, чтобы замедлить распространение #коронавирус. Вы в деле? Присоединяйтесь к обещанию, чтобы спасти жизни людей!",#коронавирус
ГлавТвит,@GlavTW,21 мар. 2020 г.,Число заражённых коронавирусом в мире превысило 210 тысяч,
thesdstn,@thesdstn,21 мар. 2020 г.,мне на этот ваш #Covid_19  категорически похуй,#covid
X-VESTI,@X_VESTI,21 мар. 2020 г.,COVID-19: Операция По Захвату Земли Пришельцами Началась?,
Интерфакс,@interfax_news,21 мар. 2020 г.,"Свыше 12,5 тысячи случаев COVID-19 подтверждено во Франции http://amp.gs/0Pjo",
Проектное бюро [разработка ПОДД],@podd39,21 мар. 2020 г.,Безопасность каждого - общее дело ,
Диалог.UA,@Dialog_UA,21 мар. 2020 г.,Первый случай COVID-19 на Харьковщине - пандемия распространяется   https://dialog.ua/ukraine/203570_1584730897…,
UfospaceNET,@UfospaceNet,21 мар. 2020 г.,Исключена космическая версия происхождения коронавируса #коронавирус #космос https://ufospace.net/isklyuchena-kosmicheskaya-versiya-proishozhdeniya-koronavirusa…,#коронавирус
Телеканал Донбас,@kanaldonbass,21 мар. 2020 г.,В Донецкой области проверяют 7 больных с подозрением на COVID-19 #донбасс #новостидонбасса #donbasstv,
Maxir Nagdaliev,@MNagdaliev,21 мар. 2020 г.,Коронавирус COVID-19 https://news.mail.ru/story/incident/coronavirus/…,
Открытый телеканал,@opentvtv,21 мар. 2020 г.,Рыбы вернулись в Венецию https://youtu.be/k1RjZ8rW-0M #коронавирус #коронавирус_в_Италии #рыбы,#коронавирус
лучик),@olli_vake,21 мар. 2020 г.,Кто из какой страны?,
ПРЕДПЕНСИОНЕР,@NAIL_Captain,21 мар. 2020 г.,«Это самый обычный вирус»: начальник горздрава Казани о развернутой борьбе с COVID-19,
ДостройДолгострой,@dosrtroidolgos,21 мар. 2020 г.,Новая тайна Воробья раскрыта. #Россия #Russia #Подмосковье #нашеподмосковье #московскаяобласть #МО #COVID2019  #COVID19 #Corvid_19 #CoronaVirus #coronavirus #coronavirusawareness #КоронавирусТМ #коронавирус #карантин #АндрейВоробьев #губернаторАндрейВоробьев #Икея,#covid #covid19 #коронавирус
KoronaTime,@koronatimecom,21 мар. 2020 г.,#коронавирус #COVID-19 постепенно появляется в разных областях Украины,#covid #covid-19 #коронавирус
Ывгений,@x1gwH3Rnpe3F5BD,21 мар. 2020 г.,Шёл седьмой день карантина. ,
Zoya Kafka,@ZoyaKafka,21 мар. 2020 г., Италид аль сүүлд Ухань тэр чигтээ хаагдчихсан бхад вирус дэлгэрсэн биддэ #COVID19,#covid #covid19
ЛОСЬ,@cool_skittles,21 мар. 2020 г.,"ну, знаете, такое так себе заболевание. #Covid_19",#covid
Euronews на русском,@euronewsru,21 мар. 2020 г.,COVID-19: ЕС отменяет меры бюджетной экономии,
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,Еврокомиссия выделяет компании CureVac 80 млн евро на разработку вакцины против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=135326… #новости #фармация,
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,"Гели, мыло и маски: что поможет для профилактики #коронавирус'а? http://jenke.rs/Sc10Wr",#коронавирус
NormaJ,@galamm11,21 мар. 2020 г.,"Работать не хотят, зараза: во Франции могут выплатить по 1000 евро работающим во время COVID-19",
KoronaTime,@koronatimecom,21 мар. 2020 г.,Тем временем статистика на сейчас по #коронавирус #COVID-19 в мире. Следить в режиме онлайн - https://koronatime.com/statistika-rasprostranenija-koronavirusa-v-rossii-i-mire/…,#covid #covid-19 #коронавирус
cryptobeats,@fuckingtiraspol,21 мар. 2020 г.,"Четыре гражданина Молдовы, у которых диагностировали #коронавирус, недавно вернулись из Украины, куда ездили на экскурсию в монастырь. Ну как помолились?",#коронавирус
presshub_ru,@presshubeu,21 мар. 2020 г.,COVID-19  [rt]  #Оперштаб опроверг данные о смерти пациента с коронавирусом в  #Тюмени http://presshub.eu/ru/articledetails.aspx?aid=6639686&pg=1#presshubeu…,
Наталья,@Fenix_2403,21 мар. 2020 г.,"Вирусы, covid-19, пандемия... ",
рони,@vkrschn,21 мар. 2020 г.,Сосед моего мужика заболел коронавирусом.,
Интерфакс,@interfax_news,21 мар. 2020 г.,Премьер Польши объявил об эпидемии COVID-19 в стране http://amp.gs/0PI2,
Форпост Северо-Запад,@forpostsz,21 мар. 2020 г.,"#Новости #Общество Новые случаи COVID-19 в Петербурге выявили у туристов из США, Германии и Австрии",
SIght REAL,@real_sight,21 мар. 2020 г.,В Украине очередной прирост заразившихся коронавирусом COVID-19 - https://real-vin.com/v-ukraine-ocherednoj-prirost-zarazivshihsja-koronavirusom-covid-19…,
Nikolay Shmichkov,@malefictum,21 мар. 2020 г.,"Кто-то соблюдает карантин, а кому-то важна прибыль. ",
KupetZ,@kupets23,21 мар. 2020 г.,В ответ ,
Новая Газета,@novaya_gazeta,21 мар. 2020 г.,Московские лаборатории в тестовом режиме начнут проводить исследования на наличие в организме COVID-19 уже с 20 марта,
Stah Rozsoha,@ElturS,21 мар. 2020 г.,"Кажется, в Украине такая же ситуация. Очень интересная деловая тема. У нас на удаленку ушли многие. И знаю, у многих проблемы с оргтехникой, поскольку смартфоны были больше востребованы. #карантин #удаленка #коронавирус #COVID",#covid #коронавирус
itbusiness,@itbusinesscom,21 мар. 2020 г.,"Серия iPhone 12 все еще идет по графику, несмотря на пандемию COVID-19 - https://itbusiness.com.ua/hardnews/obzory-mobilnyh-gadzhetov/19147-seriya-iphone-12-vse-eshhe-idet-po-grafiku-nesmotrya-na-pandemiyu-covid-19.html…",
Max Ershov,@MaksksE,21 мар. 2020 г.,17 из #100ДнейКода,
Bengoshi,@ua_bengoshi,21 мар. 2020 г.,"сміюсь, але от ще з гуглу за  2000 рік: ""Скоро придет в мир древнейшее учение. Меня спрашивают: «Скоро ли придет это время?» Нет, не скоро. Еще Сирия не пала!"". #Covid_19 #пророцтва #коронавірус",#covid
Alexa,@alexa___1188,21 мар. 2020 г.,"Карантин-не лучшее,что может случиться, но,честно,надоело бесконечное нытье про то,как неудобно работать из дома,как скучно,как прожить без футбола и т.п.:из одной только туалетной бумаги столько всего интересного можно сделать, вы что зря ее скупали?",
KupetZ,@kupets23,21 мар. 2020 г.,"Правительство Буэнос-Айреса просит сообщать о нарушителях карантина, но наши соотечественники считают это не проявлением гражданской позиции, а СТУКАЧЕСТВОМ.",
Интерфакс-Украина,@interfaxua,21 мар. 2020 г.,Тестирование людей на коронавирус без признаков болезни не имеет смысла,
Наталья Польская,@nata30911,21 мар. 2020 г.,"""Мы сделаем это"": Италия не справляется с COVID-19, но не падает духом… https://youtu.be/6xNZAM6F9zA через ",
уставший Лис,@fuchsileys,21 мар. 2020 г.,Я хочу знать правду ,
Vlad,@Ukraine_Twi,21 мар. 2020 г.,"Почему имея колоссальный научный потенциал Украина не принимает участия в разработке вакцины от #Covid_19? Не потому ли, что Коболев получает 1,5 млн грн з/п, а работник науки  — до 8 тысяч. Теперь если наши чиновники заболеют, пусть идут за вакциной к Коболеву или Лещенко",#covid
Slava Makaroff,@slavamakarov,21 мар. 2020 г.,В частной больнице “2 мая” в Барселоне почти половина персонала службы скорой помощи выведено из строя в связи карантином или инфицированием медиков вирусом covid-19. Больница и ранее испытывала нехватку персонала.,
КараЛенина,@Caramelina4,21 мар. 2020 г.,Война на уничтожение #ВалентинКатасонов #Кризис #Коронавирус #Карантин https://youtu.be/YLdfSR92H9s с помощью ,#коронавирус
ФАКТЫ,@faktyua,21 мар. 2020 г.,Первый случай COVID-19 подтвержден в Харьковской области,
Портал АНТИКОР,@antikorua,25 мар. 2020 г.,Фото больницы на Луганщине для больных COVID-19 шокировали украинцев • Портал АНТИКОР https://antikor.com.ua/articles/367725-foto_boljnitsy_na_luganshchine_dlja_boljnyh_covid-19_shokirovali_ukraintsev…,
RMC News,@RMCNewsru,25 мар. 2020 г.,В Подмосковье приостановили деятельность ночных клубов и кинотеатров,
RMC News,@RMCNewsru,25 мар. 2020 г.,Более 30 россиян просят помочь с возвращением на родину из Коста-Рики,
Новости Украины,@uatime_net,25 мар. 2020 г.,В США на COVID-19 заболело еще более 50 тыс. человек - https://uatime.net/ukraine/v-ssha-na-covid-19-zabolelo-eshhe-bolee-50-tys-chelovek/… #Киев #Новости #Украина,
IRISHA VINNITSKAYA,@IRISHAVIN,25 мар. 2020 г.,Ученые выяснили при какой температуре умирает коронавирус COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367702-uchenye_vyjasnili_pri_kakoj_temperature_umiraet_koronavirus_covid-19…,
Новости Украины,@1news_ukraine,25 мар. 2020 г.,Медики одобряют - Минздрав рассказал о почасовой оплате за лечение COVID-19  http://ukraine.web2ua.com/mediki-odobrjajut-minzdrav-rasskazal-o-pochasovoj-oplate-za-lechenie-covid-19-1478/…,
Санкционник,@DarcesY,25 мар. 2020 г.,В Подмосковье приостановлена работа досуговых заведений из-за COVID-19 http://dlvr.it/RSVXyF,
Новости+,@Mam1ba1,25 мар. 2020 г.,"ОАЭ легализует туристов, оставшихся в стране из-за COVID-19 - https://da-te.ru/%d0%be%d0%b0%d1%8d-%d0%bb%d0%b5%d0%b3%d0%b0%d0%bb%d0%b8%d0%b7%d1%83%d0%b5%d1%82-%d1%82%d1%83%d1%80%d0%b8%d1%81%d1%82%d0%be%d0%b2-%d0%be%d1%81%d1%82%d0%b0%d0%b2%d1%88%d0%b8%d1%85%d1%81%d1%8f/…",
Пятый канал Новости,@5tv,25 мар. 2020 г.,,
Кодекс,@KodeksuNET,25 мар. 2020 г.,"Число заболевших коронавирусом в США достигло почти 53 тыс., около 700 человек умерли...",
ИА REGNUM,@IA_REGNUM,25 мар. 2020 г.,COVID-19: власти заплатят самоизолированным пенсионерам Якутии https://regnum.ru/news/2894406,
РИА Новости,@rianru,25 мар. 2020 г.,,
Dorgio.mn,@Dorgiomn,25 мар. 2020 г.,Covid-19 хакеруудын урхи болж байна,
Мир 24,@Mir24TV,25 мар. 2020 г.,Рейтинг Трампа впервые превысил его антирейтинг благодаря коронавирусу,
Москва-ТуТ,@moskva_ru,25 мар. 2020 г.,"В Общественной палате рассказали о ""коронавечеринках"" в Краснодаре: В Краснодаре на фоне пандемии COVID-19 проводятся ""коронавечеринки"",... https://bit.ly/3dvZG7k",
ООН,@UnitedNationsRU,25 мар. 2020 г.,"Верховный комиссар ООН по правам человека призывает к смягчению санкций в отношении Ирана, Кубы, КНДР, Венесуэлы и др., чтобы дать возможность системам здравоохранения бороться с COVID-19 и предотвратить распространение вируса на глобальном уровне ",
ВСЕМОГУСЕВ,@vsemogusev,25 мар. 2020 г.,Железный Человек победит #Коронавирус . Инфа 100%,#коронавирус
And Reo (резерв),@Reo__An,25 мар. 2020 г.,Саппорт твитора отдал чистку акков на аутсорс #коронавирус'у.,#коронавирус
AdaetsX,@AdaetsX,25 мар. 2020 г.,Коронавирусқа қарсы вакцина жасауға жоқ дегенде 1 жыл уақыт керек дейді америкалық мамандар. Ал саған керек болса. #Казахстан #COVID2019 #коронавирус #coronavirus,#covid #коронавирус
Wadim Chepel,@Wernon78,25 мар. 2020 г.,Грета Тунберг думает??? ,
RuNews24.ru Новости,@runews24ru,25 мар. 2020 г.,Во Франции число жертв коронавируса за сутки возросло на 240,
ANADOLU AGENCY (RU),@aa_russian,25 мар. 2020 г.,#Трамп допустил открытие границ США к Пасхе http://v.aa.com.tr/1778269 #коронавирус,#коронавирус
Кодекс,@KodeksuNET,25 мар. 2020 г.,"Трамп заявил, что хочет, чтобы к Пасхе - 12 апреля в США открылся бизнес, и это несмотря на то, что в ВОЗ предупредили: в течении недели - США могут стать следующим эпицентром коронавируса.",
Karîna Osêyan.,@oseyan123,25 мар. 2020 г.,Ряд врачей и медработников требуют от правительства Французской Федерации более решительных мер по борьбе с распространением коронавируса (COVID-19). Мы считаем необходимым ввести во Франции тотальный карантин.,
С.Баярбаатар,@bayarbaatar,25 мар. 2020 г.,COVID 19 үеийн лого хувилбар,
Усадьба горожанки.,@rivkinal57,25 мар. 2020 г.,"Контактер Руслан Nelnaro. Звездные войны,библейские Драконы,  Covid 19, ... https://youtu.be/qEzEPXsu4nY с помощью ",
Emperor High-Sky,@trumpathon,25 мар. 2020 г.,Как лечить коронавирусную инфекцию COVID-19 / ЭПИДЕМИЯ с Антоном Красовским http://trumpathon.com/%d0%ba%d0%b0%d0%ba-%d0%bb%d0%b5%d1%87%d0%b8%d1%82%d1%8c-%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0%d0%b2%d0%b8%d1%80%d1%83%d1%81%d0%bd%d1%83%d1%8e-%d0%b8%d0%bd%d1%84%d0%b5%d0%ba%d1%86%d0%b8%d1%8e-covid-19/…,
Ридус,@RidusNews,25 мар. 2020 г.,"COVID-19 распахнул двери нью-йоркских тюрем. Амнистируют, правда, не всех.",
IBTimes.ru,@IbtimesRUS,25 мар. 2020 г.,"МИД призвал снять с Ирана санкции, мешающие борьбе с COVID-19 — Рамблер/новости",
Alexander Bobrov,@AlexBobrovSE,25 мар. 2020 г.,"Новый номер ""СЭ"". Покупайте, читайте на сайте http://sport-express.ru, скачивайте в pdf.",
sololaki,@sololaki1,25 мар. 2020 г.,#Новости | COVID-19 выявили у депутата Рудыка – нардеп https://sololaki.ru/novosti-ukrainy/novosti-covid-19-vyyavili-u-deputata-rudyka-nardep.html…,
Новости Украины,@1news_ukraine,25 мар. 2020 г.,Влияние COVID-19 на рынок недвижимости  http://ukraine.web2ua.com/vlijanie-covid-19-na-rynok-nedvizhimosti-5235/…,
TOMIN.BY,@tominby,25 мар. 2020 г.,В Москве пациентам с легкой формой COVID-19 разрешили лечиться дома https://tomin.by/news/ob/26120-lechenie-koronavirusa…,
Всю жизнь в раю!,@northern_50,25 мар. 2020 г.,"Подросток умирает от COVID-19 в Калифорнии, став 1-м известным несовершеннолетним в США.",
𝗸𝗮𝗶𝗿𝗮𝘁𝗸𝘇,@Kairatkz,25 мар. 2020 г.,"#covid19 сам по себе мал в размерах, но летает в капельках жидкости, которые маска и задерживает",#covid #covid19
А.Нальгин,@An_Nalgin,25 мар. 2020 г.,О необходимости безоговорочной утилизации российской «элиты» https://a-nalgin.livejournal.com/1846909.html #сейчас #Россия #коронавирус #ненависть #СМИ #бизнес,#коронавирус
yurakefir,@yurakefir,25 мар. 2020 г.,Настала пора выйти за туалеткой!,
𝗸𝗮𝗶𝗿𝗮𝘁𝗸𝘇,@Kairatkz,25 мар. 2020 г.,Самое лучшее видео про #covid19 ,#covid #covid19
Texnoplus.ru,@texnoplusnews,25 мар. 2020 г.,YouTube снизит качество видеороликов из-за пандемии COVID-19,
Korsák Voskrés,@KorsakVoskres,25 мар. 2020 г.,Опяяять лента твиттера закончилась! ,
Nigroll,@nigroll,25 мар. 2020 г.,У внефракционного нардепа Верховной Рады Сергея Рудыка подтвердили коронавирус COVID-19.,
Кавказский Узел,@caucasianknot,25 мар. 2020 г.,Карантинные меры привели к уменьшению людей и транспорта на улицах #Баку,
Илья Рябуха,@ryabukhailya,25 мар. 2020 г.,Где же сейчас Стивен Сигал ??? #коронавирус,#коронавирус
Портал АНТИКОР,@antikorua,25 мар. 2020 г.,Ученые выяснили при какой температуре умирает коронавирус COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367702-uchenye_vyjasnili_pri_kakoj_temperature_umiraet_koronavirus_covid-19…,
До́рта,@Dortemina666fox,25 мар. 2020 г.,РЦП организовывает массовую молитву против #COVID19,#covid #covid19
Jenkers News (RUS),@jenkers_ru,25 мар. 2020 г.,#Парагвай закрывает полностью границу из-за #коронавирус'а http://jenke.rs/e6X9Gk,#коронавирус
imaginary_,@imaginary_o_o,25 мар. 2020 г.,"Мне кажется,что когда всё закончится, у многих останутся признаки ОКР...",
ОфисРеал 495 7952833,@officereal,25 мар. 2020 г.,Самоизоляция – это спасение жизней!,
Embajada de Rusia en Cuba,@EmbRusCuba,25 мар. 2020 г.,"Из-за  #COVID-19 остались незамеченными такие важные события как установление дипломатических отношений между СССР (Россией) и Ямайкой (12 марта 1975 года), получение Тунисом и Намибии  независимости",#covid #covid-19
Jenkers News (RUS),@jenkers_ru,25 мар. 2020 г.,Число зараженных #коронавирус'ом в Грузии выросло до 70 человек http://jenke.rs/l7G1Ux,#коронавирус
IRISHA VINNITSKAYA,@IRISHAVIN,25 мар. 2020 г.,В США заявили о первой смерти подростка от COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367698-v_ssha_zajavili_o_pervoj_smerti_podrostka_ot_covid-19…,
Хуёвые Вести:,@nickotin,25 мар. 2020 г.,"Американский драматург Терренс МакНэлли умер на 82 году жизни в результате осложнений, вызванных коронавирусом COVID-19.",
pagesmoldova,@pagesmoldova,25 мар. 2020 г.,В Рышканах супруги с COVID-19 отпраздновали день рождения в кругу 15 человек https://pages.md/v-rishkanah-suprugi-s-covid-19-otprazdnovali-den-rojdeniia-v-krugu-15-chelovek/…,
ООН,@UnitedNationsRU,25 мар. 2020 г.,Ситуация с COVID-19 в мире на 24 марта.,
Портал АНТИКОР,@antikorua,25 мар. 2020 г.,В США заявили о первой смерти подростка от COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367698-v_ssha_zajavili_o_pervoj_smerti_podrostka_ot_covid-19…,
Ридус,@RidusNews,25 мар. 2020 г.,"Соцсети пугают, Депздрав успокаивает. Смерть — не от COVID-19.",
𝗸𝗮𝗶𝗿𝗮𝘁𝗸𝘇,@Kairatkz,25 мар. 2020 г.,Гонки барчартов по топ-15 стран по числу заражённых #covid19 ,#covid #covid19
Известия,@izvestia_ru,25 мар. 2020 г.,,
refresh!t,@liilliil,25 мар. 2020 г.,"#коронавирус вышел на 2к в сутки, это 60к в месяц. Крематорий №2 Освенцима мог сжигать до 100к в месяц",#коронавирус
V.Schneider,@VSchneider1,25 мар. 2020 г.,Тестирование на РФ оказалось ложью: Брехунцы считали за тестирование замер температуры в аэропортах https://svobodu-narodam.livejournal.com/5243924.html?utm_source=twsharing&utm_medium=social… #фальсифікації #дезинформация #коронавирус #диагностика #русскаяложь #вруны #разоблачение,#коронавирус
Интерфакс-Украина,@interfaxua,25 мар. 2020 г.,"Число заболевших коронавирусом в США достигло почти 53 тыс., около 700 человек умерли",
Олег/Oleh,@olvik_,25 мар. 2020 г.,"Как думаете, сколько продлится это всё?..",
Александр Буран,@Bur_747,25 мар. 2020 г.,Тату мастера жертвуют свои материалы в помощь медицинским работникам в борьбе с COVID-19,
V.Schneider,@VSchneider1,25 мар. 2020 г.,Гундяевская РПЦ борется с коронавирусом вином и массовым причастием  https://svobodu-narodam.livejournal.com/5241976.html?utm_source=twsharing&utm_medium=social… #московскиепопы #московскийпатриархат #гундяевцы #вина #руssкоеправославие #коронавирус #мракобесие #эпидемии #РПЦ,#коронавирус
V.Schneider,@VSchneider1,25 мар. 2020 г.,Россия как страна-оккупант должна обеспечить крымчан медицинской защитой https://svobodu-narodam.livejournal.com/5241631.html?utm_source=twsharing&utm_medium=social… #прокуратураАРК #Крым #русскиеоккупанты #коронавирус #международноеправо #оккупация,#коронавирус
Squash Lady,@SquashLady,25 мар. 2020 г.,"Зашла в магаз: #гречка есть, туалетная бумага есть. Конец света отменяется!",
Северное сияние,@Pal_Sanja,25 мар. 2020 г.,"По словам Греты Тунберг в Швеции невозможно сдать тест на коронавирус,если человек не нуждается в срочной медпомощи.",
Не верь сказанному,@nataliminsk100,25 мар. 2020 г.,Чему научит человечество пандемия коронавируса Covid-19?  http://bolshoyvopros.ru/sh/zffoh72,
ИА REGNUM,@IA_REGNUM,25 мар. 2020 г.,Два человека умерли от COVID-19 на Кипре https://regnum.ru/news/2894392,
Новости Мировой Державы,@worldrussianews,25 мар. 2020 г.,Общий размер помощи в США из-за COVID-19 составит около $6 триллионов ,
Росбалт,@rosbaltru,25 мар. 2020 г.,,
Ольга (OLXO),@olxo2013,25 мар. 2020 г.,В Подмосковье приостановлена работа досуговых заведений из-за COVID-19 — РТ на русском https://russian.rt.com/russia/news/731523-podmoskove-rabota-zavedenii-priostanovka…,
катя ножик,@knife_inside,25 мар. 2020 г.,"Егор, жалобно: ты не знаешь, почему когда мы начинаем говорить про COVID-19, мне сразу немедленно хочется ПОТРОГАТЬ ВСЕ ЛИЦО ВЕЗДЕ?",
Кавказский Узел,@caucasianknot,25 мар. 2020 г.,Активисты Кабардино-Балкарии призвали отказаться от семейных праздников.,
Jenkers News (RUS),@jenkers_ru,25 мар. 2020 г.,На авианосце ВМС США трое моряков заболели #коронавирус'ом http://jenke.rs/Ny9i8Z,#коронавирус
RuNews24.ru Новости,@runews24ru,25 мар. 2020 г.,Сенатор предложил отправить нарушившего карантин Джигана в больницу,
Олег/Oleh,@olvik_,25 мар. 2020 г.,#сижудома Никакого страха перед коронавирусом быть не должно. Необходимо это понять и правильно воспользоваться настоящим моментом https://t.me/appilife_public/32…,
Vалентина Астра,@valentina201013,25 мар. 2020 г.,Необычные фото .Путин в респираторе: кадры из больницы в Коммунарке поразили публику.,
Mongolia in Canada,@MongoliaCanada,25 мар. 2020 г.,Ванкувер хотын оршин суугчид эрүүл мэндийн ажилтнуудадаа талархал илэрхийлж байна. Бритиш Колумби мужид Covid-19 өвдсөн 100 гаруй  хүн эдгэсэн.,
ИА REGNUM,@IA_REGNUM,25 мар. 2020 г.,Эпицентр эпидемии COVID-19 в Китае возобновляет железнодорожное сообщение https://regnum.ru/news/2894387,
Nilkot,@Nilkrocodile,25 мар. 2020 г.,В ответ ,
ГИД В ПАРИЖЕ- ВАГИРЕН СЕРГЕЙ,@GidvP,25 мар. 2020 г.,Париж не унывает.,
Ольга Злюка,@artamonchik_zr,25 мар. 2020 г.,https://anticorona.help,
Шахерезада Степановна 𓁼,@nikalena007,25 мар. 2020 г.,В аэропорту прям аншлаг,
Новини України/Новости Украины,@InfoProstirUA,25 мар. 2020 г.,Погода в Украине летом: синоптики обещают новые аномалии,
@kpru,@kpru,25 мар. 2020 г.,Столичный департамент здравоохранения утвердил рекомендации по лечению больных COVID-19 https://kp.ru/online/news/3809015/?utm_source=twitter&utm_campaign=social_share…,
Vladyslav Mazur,@VladyslavMazur,25 мар. 2020 г.,"Что надо для производства масок: газ, нефть + немецкие технологии + упаковочная линия из Китая #коронавирус",#коронавирус
evil,@evi1princessl3,25 мар. 2020 г.,"Вирус, что с тобой не так?",
Nik Gordyj&Co (РУСЬ inn - Ст.МеНСКая),@Nik_Gordy_N_Co,25 мар. 2020 г.,Открытый мир (,
Stoic horse,@yaikcossack,25 мар. 2020 г.,До 5 лет тюремного заключения за необоснованный выход из под карантина. Всё очень серьезно.#Италия #коронавирус,#коронавирус
Ридус,@RidusNews,25 мар. 2020 г.,YouTube снизит качество видеороликов из-за пандемии COVID-19,
Тви Акк,@akk4twi,25 мар. 2020 г.,"Бизнес:  Альфа-Банк запускает на фоне COVID-19 программу ""Кредитный карантин""",
Суть Времени ☭2,@kurginyanRU,25 мар. 2020 г.,"Эксперт по биооружию: COVID-19 — биологическое оружие, разработанное в США",
Ретранслятор.RU,@RetranslyatorRU,25 мар. 2020 г.,"Похоже надо признать, что ситуация действительно серьезная?",
Eidukaitene Svetlana,@angelsvet,25 мар. 2020 г.,Тема короновирус COVID-19 продолжается|Здоровье без лекарств. https://svetbereza.blogspot.com/2020/03/covid-19.html…,
пташка,@Naty66515882,25 мар. 2020 г.,"..""словенский мастер философского стендапа уже выпустил книжку, осмыслив всё произошедшее наперёд – ""PANDEMIC! Covid-19 Shakes the World"" Хуй в железо пока горячо!"" про Славой Жижека))",
