Имя пользователя,Ссылка,Время,Текст,Хэштеги
Elena Mondonen,@lenusy19872,27 мар. 2020 г.,Ужас или всё-таки нет мой день рождение совпало с карантином по COVID-19 придётся сидеть дома и получать поздравления по телефону и SMS,
Новини України/Новости Украины,@InfoProstirUA,27 мар. 2020 г.,"""Медсестры уже падают, а людей продолжают везти"": нардеп Шахов рассказал о киевской больнице",
Политнавигатор,@PolitNavigator,27 мар. 2020 г.,Россия сделает Приднестровье независимым от Молдовы в борьбе с коронавирусом. #коронавирус https://politnavigator.news/rossiya-sdelaet-pridnestrove-nezavisimym-ot-moldovy-v-borbe-s-koronavirusom.html…,#коронавирус
Гомер,@eP90gERw2UPS2ig,27 мар. 2020 г.,"Источники сообщили, что Италия отклонила документ ЕС по COVID-19 https://news.mail.ru/politics/41115924/?social=tw…",
Tomas,@VellikokTomas,27 мар. 2020 г.,Ответы на вопросы о COVID-19 / Выпуск №6 (вопросы 151-180) / 26 марта | ... https://youtu.be/Vk3KiylmIug käyttäjältä ,
Добряк,@DOBRYAC12,27 мар. 2020 г.,Дитя вернулось домой,
vladdi7,@vladdi77,27 мар. 2020 г.,Новости про #коронавирус уже достали. Когда будет что - нибудь хорошее???,#коронавирус
Misha Komadovsky,@komadovsky,27 мар. 2020 г.,«Мир станет лучше!» ,
cit ua,@ClT_ua,27 мар. 2020 г.,"Новая статья (Очередная волна теорий заговора о рукотворности пандемии Covid-19 обвиняет во всем уханьскую вирусологическую лабораторию, исследователи из которой в самом деле сконструировали в 2015 году вирус, близкий к нынешнему. И ...) опубликована на  - https://cit.ua/ocherednaya-volna-teoriy-zagovora-o-ruk/…",
Новости Украины,@uatime_net,27 мар. 2020 г.,В Украине зафиксировано 196 случаев COVID-19 - https://uatime.net/world/v-ukraine-zafiksirovano-196-sluchaev-covid-19/… #Киев #Новости #Украина,
Диссидент. Ру,@ru_dissident,27 мар. 2020 г.,#новости The New York Times: США стали первыми в мире по заболеваемости COVID-19: США 26… https://goo.gl/fb/5TGveL,
Видаль Сорокин,@VidalSorokin,27 мар. 2020 г.,#Карантин #Quarantine #коронавирус #coronavirus,#коронавирус
vecherka.news,@Vecherka_News,27 мар. 2020 г.,В Италии более восьми тысяч жертв COVID-19,
Какая-то хуйня,@pokusalka,27 мар. 2020 г.,"Итак, а что делать, если все запасы еды, купленные на период карантина, были сожраны до карантина? #COVID",#covid
Dzhamshed Bakhriev,@bakhriev,27 мар. 2020 г.,"Карта распространения коронавируса по Москве с точными адресами, откуда забирали с подозрением на COVID-19 https://instagram.com/p/B-NjscgJHzn/?igshid=8fs0g6no8ne4…",
Новини України/Новости Украины,@InfoProstirUA,27 мар. 2020 г.,Дарница наращивает выпуск противовирусного препарата,
Королева Лёха,@Los_Aleshenka,27 мар. 2020 г.,Тем временем в Питере апокалипсис,
Volodymyr Tarasov,@V_Taras,27 мар. 2020 г.,В окк. Крыму за последние дни госпитализировали около 1500 человек с диагнозами ОРВИ и пневмония. ,
Москва-ТуТ,@moskva_ru,27 мар. 2020 г.,"Из Киева в Москву отправится организованный из-за COVID-19 спецпоезд: Специальный поезд, который привезет россиян на Родину из-за ситуации... https://bit.ly/2UkIVnH",
vadimts,@vadimmts,27 мар. 2020 г.,"Лев лещенко здоровье сегодня 2020 - певец заболел коронавирусом, какое состояние у него сейчас? Что случилось с Львом Лещенко и почему он в реанимации? https://tvarina.ru/839-sostoyanie-lva-leschenko-na-segodnya-koronavirus.html… #вирус #коронавирус #covid19 #лещенко",#covid #covid19 #коронавирус
антíчная креветка,@_Lame_monkey_,27 мар. 2020 г.,В ответ ,
Югополис,@yugopolis,27 мар. 2020 г.,"В Краснодарском крае закрываются торгово-развлекательные центры, рестораны, кафе и бары. Соответствующее постановление поздно вечером в четверг, 26 марта подписал губернатор края Вениамин Кондратьев",
RuNews24.ru Новости,@runews24ru,27 мар. 2020 г.,Локоть: Из Китая в Новосибирск доставят 320 тысяч защитных масок,
Компьютерное Обозрение,@ko_online,27 мар. 2020 г.,«Ассоциация IT Ukraine» запустила программу AntiVirus для борьбы с COVID-19,
Sentinel #Україна,@You_are_Future,27 мар. 2020 г.,Беспрецедентные меры по противодействию #коронавирус в начале/средине марта ,#коронавирус
5.ua: новости Украины и мира,@5channel_ru,27 мар. 2020 г.,"Третий случай COVID-19 во Львовской области: заболел мужчина, вернувшийся из Италии https://5.ua/ru/rehyoni/tretyi-sluchai-covid-19-vo-lvovskoi-oblasty-zabolel-muzhchyna-vernuvshyisia-yz-ytalyy-211315.html…",
presshub_ru,@presshubeu,27 мар. 2020 г.,власти москвы  [nation-news]  #Власти  #Москвы допустили продление выходных из-за COVID-19 http://presshub.eu/ru/articledetails.aspx?aid=6656374&pg=1#presshubeu…,
Евгения,@enigmil,27 мар. 2020 г.,Промокод «COVID-19» на скидку - дно маркетинга,
A r m e n,@armen_osipyan,27 мар. 2020 г.,"С 27 марта кинотеатр ""Дом Кино"" (Саратов) приостанавливает работу!",
Экспресс газета,@ExpressGazeta,27 мар. 2020 г.,Участились связанные с коронавирусом случаи мошенничества,
separatist,@separatist_86,27 мар. 2020 г.,И это тоже Ереван ,
Портал АНТИКОР,@antikorua,27 мар. 2020 г.,"Опасения были не напрасны: среди пассажиров поезда ""Рига — Киев"" таки нашли больного COVID-19 • ... https://antikor.com.ua/articles/368267-opasenija_byli_ne_naprasny_sredi_passahirov_poezda_riga__kiev_taki_nashli_boljnogo_covid-19…",
ГлавТвит,@GlavTW,27 мар. 2020 г.,Власти Москвы могут продлить выходные из-за коронавируса,
Непрожитая жизнь,@AnaskoBro,27 мар. 2020 г.,В ответ ,
Joinfo.com,@JoinfoEng,27 мар. 2020 г.,"Тейлор Свифт перечислила по $3000 фанатам, пострадавшим от кризиса из-за коронавируса",
KORONAVIRUS ODESSA,@Korona_news2022,27 мар. 2020 г.,"Жители г.Ухань, который стал эпицентром развития коронавируса во всем мире, провожают врачей после снятия карантина. ",
Максимов и партнеры / Maksimov & Co. Lawyers,@WaterWorldMax,27 мар. 2020 г.,"Минздрав сообщил о возможности применять ибупрофен для лечения COVID-19. По словам главного инфекциониста ведомства, пациентам с коронавирусной инфекцией наравне с парацетамолом следует назначать ибупрофен.",
Циник,@Max93F,27 мар. 2020 г.,Власти этого не предусмотрели. Нас ждет неделя активного распространения вируса. https://zen.yandex.ru/media/novost/vlasti-etogo-ne-predusmotreli-nas-jdet-nedelia-aktivnogo-rasprostraneniia-virusa-5e7d123f95cdd24869d380c0… #коронавирус #срочно #репост,#коронавирус
Интерфакс-Украина,@interfaxua,27 мар. 2020 г.,Еще один случай заражения коронавирусом зафиксирован в Одесской области,
vecherka.news,@Vecherka_News,27 мар. 2020 г.,В трех областях выявили новые случаи COVID-19,
@govmurman51,@govmurman51,27 мар. 2020 г.,Полпред в СЗФО Александр Гуцан создал Координационный штаб по предупреждению и борьбе с распространением COVID-19 https://gov-murman.ru/info/news/357709/…,
alex,@alex226630,27 мар. 2020 г.,Ответы на вопросы о COVID-19 / Выпуск №4(91-125) / 23.03.20 | Доктор Ком... https://youtu.be/BQLYF6r6qUo с помощью ,
ИА REGNUM,@IA_REGNUM,27 мар. 2020 г.,Ещё один житель Албании стал жертвой COVID-19 https://regnum.ru/news/2896946,
Новини України/Новости Украины,@InfoProstirUA,27 мар. 2020 г.,В ВОЗ предупреждают о миллионных смертей от коронавируса,
Тристар,@TristarMc,27 мар. 2020 г.,Ситуация с Covid-19 на 26.03.20:,
ИА REGNUM,@IA_REGNUM,27 мар. 2020 г.,Ростовский губернатор призвал жителей к самоизоляции из-за COVID-19 https://regnum.ru/news/2896949,
zebrev,@gizebrev,27 мар. 2020 г.,Не лижи чужие шляпы,
Пятый канал Новости,@5tv,27 мар. 2020 г.,,
ëщë (держусь),@I_dont_hope,27 мар. 2020 г.,"В тиктоке появилась вкладка мероприятие под названием covid 19... И когда её нажимаешь, то пишут мол мероприятие не доступно в вашем регионе",
Pollynna,@antygonnna,27 мар. 2020 г.,А Америка уже обогнала Китай по количеству выявленных случаев +13750 за сутки,
ЛЮДМИЛА,@9oC4fVlmQLAMngZ,27 мар. 2020 г.,"#коронавирус #страшнеевируса #испытание #человечество #МарияКарпинскаяЧто сейчас страшнее коронавируса? Испытание для человечества. Вирус вышел из под контроля. Изощрённый ум, разделяющий людей. Репортаж Марии Карпинской.",#коронавирус
birtutas.jeltoqsan,@ActorMato,27 мар. 2020 г.,@KingSalman,
Russian Mission OSCE,@RF_OSCE,27 мар. 2020 г.,,
Аватар в метавселенной,@Siz_Off,27 мар. 2020 г.,Подробный прогноз ситуации с COVID-19 в России при различных сценариях.,
НЕТ ВОЙНЕ SCIENCE CLUB За свободу Навального!,@SCIENCE_CLUB_RU,27 мар. 2020 г.,"Собянин молодец, перепрофилирует целые здания больниц для больных COVID-19. Только будет ли там лечение лучше, чем дома, если эти места не обеспечены аппаратурой интенсивной терапии, подходящими по квалификации врачами и необходимым уходом? Как это власти решают неизвестно.",
Новости Сочи SochiNews.IO,@SochiNewsIO,27 мар. 2020 г.,Парк «#Дендрарий» в Сочи закрыт для посетителей,
Samtulana,@samtulana,27 мар. 2020 г.,[Болезнь] Коронавирусная инфекция COVID-19: cимптомы и 10 ответов на главные вопросы - https://samtulana.ru/qejny8yzc69rfa3f/…,
Random,@RMKPZ,27 мар. 2020 г.,COVID-19: Иран запрещает поездки между городами и продлевает карантин  #ИРАН #ГОРОД #РУГАНЬ,
Клинские библиотеки,@biblio_klin,27 мар. 2020 г.,Прямая линия с Губернатором Московской области А. Воробьевым (26.03.2020).,
Rusia en Perú,@RusEmbPeru,27 мар. 2020 г.,"С 27 марта прекращается регулярное и чартерное авиасообщение из  и в обратном направлении за исключением полетов, связанных с вывозом росграждан на Родину в связи с #COVID19 (в соответствии со списками граждан, сформированными МИД РФ)",#covid #covid19
koronavirus-ncov.ru,@NcovRu,27 мар. 2020 г.,#коронавирус #COVID2019 #nCoV2019 #коронаминус #coronavirus #коронавірус #COVID19 ,#covid #covid19 #коронавирус
Анна Жукова,@janna_com,27 мар. 2020 г.,США на 1 месте по числу зараженных Пандемия коронавируса COVID-19. Онлайн – Новости Варламов.ру – ЖЖ https://varlamov.ru/3825410.html?utm_source=odnoklassniki.ru&utm_medium=social&utm_campaign=ssha-vyshli-na-pervoe-mesto-po-chislu-zafik…,
ФАКТЫ,@faktyua,27 мар. 2020 г.,"Опасения были не напрасны: среди пассажиров поезда ""Рига — Киев"" таки нашли больного COVID-19",
Денис Шириков,@irkdozor,27 мар. 2020 г.,Победить COVID-19 быстро не получится https://goo.gl/fb/2ht7WN,
Jin Mori,@paytosiris,27 мар. 2020 г.,"Берегите свою голову, физическая болезнь проще лечится чем моральная ",
Экспресс газета,@ExpressGazeta,27 мар. 2020 г.,Скупившая антисептики Бородина посоветовала своим критикам «помыть рот»,
РуПол | Рыжевский,@RuPol555,27 мар. 2020 г.,"Коронавирус, новости №1: США обогнали Китай. . • °  #Коронавирус #новости #эпидемия #вирус #Китай #США #статистика https://pscp.tv/w/cUu8sTFwelFNcFBwbFJFZHl8MXlvS01hcW1kcERLUcyoV5oAtNzKap0uvwrh-vNkhPdmKjfhfafiEZYU9ZWm…",#коронавирус
Апостроф,@apostrophe_ua,27 мар. 2020 г.,В Украине зафиксировали 196 случаев коронавирусной болезни COVID-19,
ZdravMedInfo,@ZdravMedInfo,27 мар. 2020 г.,Итальянская больница предложила сортировку больных с COVID-19 в зависимости от результатов УЗИ http://zdravmedinfo.com/mednews.html?article=136281… #новости #медицина,
Aksel Pirvolaïnen,@Pirvolainen,27 мар. 2020 г.,"Фальшивая экономика, подарившая миру очередной #коронавирус, она же хитрожопый цифровой концлагерь, теперь рассылает неработающие тесты на этот самый вирус. Библейский пёс вернулся на свою блевотину.",#коронавирус
Еkaterina_Iurova,@mik_katerina,27 мар. 2020 г.,Лидеры «Группы двадцати» сделали заявление по новой коронавирусной инфекции ,
govna228322,@dolbanayatvar,27 мар. 2020 г.,борьба со скукой на #карантин из-за #коронавирус ,#коронавирус
IT обозрение,@itoboz_com,27 мар. 2020 г.,Суперкомпьютер МСЦ РАН помогает в разработке препаратов против COVID-19 - https://itoboz.com/news/superkompyuter-msc-ran-pomogaet-v-razrabotke-preparatov-protiv-covid-19/… #IT #софт #игры #смартфоны,
ATinform: новости,@atinform,27 мар. 2020 г.,В США клиники трижды отправляли домой мужчину с COVID-19 #сша #клиники #мужчина,
Портал АНТИКОР,@antikorua,27 мар. 2020 г.,"На Тернопольщине нашли выход, как защитить врачей от заражения COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/368259-na_ternopoljshchine_nashli_vyhod_kak_zashchititj_vrachej_ot_zarahenija_covid-19…",
Влад Погорелый,@vlad_ukrop,27 мар. 2020 г.,Юбилей с закрытыми границами: Евросоюз отмечает 25-летие Шенгенской зоны,
All Events - Все бизнес события,@allEVENTSru,27 мар. 2020 г.,"Новое мероприятия в нашем каталоге: ""Онлайн конференция Betting in face of COVID-19 """,
Сергей Ткаченко,@tsv20114,27 мар. 2020 г.,Кто и зачем создал коронавирус COVID-19,
Radio316,@Radio316,27 мар. 2020 г.,"Дальнобойщики США, несмотря на распространение COVID-19, продолжают упорно работать: даже быстрее обычного. Читай на http://radio316.org",
Интерфакс-Украина,@interfaxua,27 мар. 2020 г.,В Николаевской области в течение 26 марта подтвержденных случаев заражения коронавирусом не зарегистрировано,
АЛЕКСАНДР,@alexnemets1,27 мар. 2020 г.,"Эксперт по биооружию: COVID-19 — биологическое оружие, разработанное в США https://rossaprimavera.ru/article/c6a3f46d…",
Динар Хисамов,@DIHOZAVR,27 мар. 2020 г.,Губернатор Астраханской области Игор Бабушкин. О ситуации с коронавирусом на территории региона.,
Слава українському Криму,@nvAiOL22V3rq6oG,27 мар. 2020 г.,В Украине уже 156 случаев коронавируса COVID-19,
Дмитрий Кубанцев,@dimakub1995,27 мар. 2020 г.,В Билле просят с 7:00 до 9:00 не посещать магазин молодым людям.,
Павел Мудров,@pmudrov,27 мар. 2020 г.,"Пьяный латексный уно-ковидо-угар. Удалю завтра, когда протрезвею :)",
Раїса Шматко,@55Raisa,27 мар. 2020 г.,Количество случаев COVID-19 в Украине приблизилось к 200,
Inna Yakush,@YakushInna,27 мар. 2020 г.,Жизнь на авось.,
presshub_ru,@presshubeu,27 мар. 2020 г.,Песков  [nation-news] Встреча  #Лидеров G20 по вопросам  #Covid-19 пройдет прессы http://presshub.eu/ru/articledetails.aspx?aid=6654826&pg=1#presshubeu…,#covid #covid-19
Донецкий бандеровец,@Viktor23404370,27 мар. 2020 г.,"Коронавирусный диссонанс в России: эпидемии нет, но больницы-изоляторы  экстренно строят https://zloy-odessit.livejournal.com/3092719.html?utm_source=twsharing&utm_medium=social… #коронавирус #Россия",#коронавирус
Александрова,@alexsandrova888,27 мар. 2020 г.,коронавирус убедил Путина перенести липовое голосование по поправкам в конституцию ,
taktik praktik,@praktiktaktik,27 мар. 2020 г.,#коронавирус франция Самое плохое положение в Эльзас. Каждый час поступает в больница больной. Немцы пишут что от Макрон эту ситуация скрывают ?,#коронавирус
ZdravMedInfo,@ZdravMedInfo,27 мар. 2020 г.,Повреждение миокарда при коронавирусной инфекции COVID-19 как фактор риска ухудшения прогноза http://zdravmedinfo.com/mednews.html?article=136250… #новости #медицина,
Шарий.net,@sharijnet,27 мар. 2020 г.,МОЗ сообщило о 196 подтверждённых случаях коронавируса COVID-19,
MIGnews,@mignewsfeed,27 мар. 2020 г.,Активистка Тунберг подозревает у себя COVID-19 (видео):,
monavista_ru,@monavista_ru,27 мар. 2020 г.,Италия не стала подписывать итоговый документ саммита ЕС  по борьбе с COVID-19 https://monavista.ru/article/148343/,
Oscar Uniform,@OilooSM,27 мар. 2020 г.,COVID-19 өндөр тархалттай бгаа орнуудад оршин суугаа Монголчуудын ар гэрийнхэн энд их шаналж тэднийг “нутагтаа ирчихээсэй” гэж хүсцгээж бгаа. Энэ үед нь гадаадаас иргэдээ авчирчихвал сонгуулиар олон санал авна. Гэвч хяналтаа алдвал Италийг гайхахааргүй л юм бно доо,
Rina,@MARK1_3,27 мар. 2020 г.,"По данным Центра общественного здоровья, по состоянию на 10:00 26 марта в Украине 156 лабораторно подтвержденных случаев COVID-19, из них 5 летальных, 1 пациент выздоровел и уже выписан из больницы. За сутки было зафиксировано 43 новых случая.",
Gouranga,@_Gouranga_,27 мар. 2020 г.,В ответ ,
Saint,@Saint666ip,27 мар. 2020 г.,Официальное заявление министра здравоохранения России насчёт ситуации с COVID-19 - http://saint-666.ru/?p=379180,
Зеркальная Сталь,@euromaidannn,27 мар. 2020 г.,В ответ ,
kostyafrolov,@kyfrolov,27 мар. 2020 г.,Очередной отчёт о жизни во время коронавируса в ЛА #коронавирус #лосанджелес,#коронавирус
Левый_Мат_Фей на самозоляции.,@Tarnaya_Fabrica,27 мар. 2020 г.,Это побочка COVID 19. Моментально выявляет долби.,
Jenkers News (RUS),@jenkers_ru,27 мар. 2020 г.,Минздрав подготовил рекомендации для профилактики и лечения #коронавирус'а http://jenke.rs/e4GNr1,#коронавирус
Алексей Панин,@Alexey_Panin,27 мар. 2020 г.,"А между тем неделей ""отдыха"" похоже не обойдемся. Власти Москвы допускают продления выходных:",
Sergio,@News_Sergio,27 мар. 2020 г.,Глава ВОЗ об ускорении пандемии коронавируса: сто тысяч заболеваний произошли за 2 дня: https://rbc.ua/rus/news/glava-voz-uskorenii-pandemii-koronavirusa-1585253472.html…,
СЛАВЯНСК,@Sloviansk,27 мар. 2020 г.,"В первом транше гуманитарной помощи из Китая помимо быстрых тестов, в Донецкую область также доставлены 18 лабораторных тестов для определения COVID-19, 900 респираторов и медицинские халаты",
nihil admirari,@steklotar,27 мар. 2020 г.,"Спикер на прошлой неделе сказал, что всё будет хорошо у всех нас — не смысла из-за короны паниковать м добавил:",
пивная жабкаREST до 14 июня,@miledi_huedi,27 мар. 2020 г.,А в июне найдут вакцину от covid-19,
Добрый Финикиец,@Jonn83779518,27 мар. 2020 г.,Боитесь ли вы заразится COVID-19?,
RusNext РусскаяВесна,@rusnextru,27 мар. 2020 г.,"Клинические испытания российской вакцины от коронавируса COVID-19 начнутся примерно через полгода, заявил министр здравоохранения РФ Михаил Мурашко. #Коронавирус #РусскаяВесна #RusNext",#коронавирус
Наталья Польская,@nata30911,27 мар. 2020 г.,Как лечить коронавирусную инфекцию COVID-19 / ЭПИДЕМИЯ с Антоном Красовским https://youtu.be/FbRJLcRBSOY через ,
ИФ / Москва,@msk_today,27 мар. 2020 г.,В московской мэрии рассказали о поимке больного COVID-19 c помощью уличных камер  https://interfax.ru/moscow/701124,
taktik praktik,@praktiktaktik,27 мар. 2020 г.,#коронавирус эльзас не подключает к аппараты искусств вентиляции пациенты в возраст 80 и даже 75. Аппаратов нет. Тк если подключать то это на 14-24 дня,#коронавирус
Мотя Домоседкина,@m1log,27 мар. 2020 г.,Доктор Е. Комаровский. Ответы на вопросы о COVID-19. ,
B.I.T,@Bit_Low,27 мар. 2020 г.,"Меня тут осенило. Дом2 же более 50 участников? А это масс мероприятие? Похоже это первый раз, когда мы можем закрыть Дом2? #дом2 #коронавирус #ретвит",#коронавирус
pagesmoldova,@pagesmoldova,27 мар. 2020 г.,Додон анонсировал тестирование медиков на COVID-19 https://pages.md/dodon-anonsiroval-testirovanie-medikov-na-covid-19/…,
Alexey,@Alekzzzzz,27 мар. 2020 г.,"На каждого погибшего от Covid-19 приходится еще три человека, скончавшихся от пневмонии у себя дома безо всяких тестов"", - заявил Джорджо Гори, мэр города Бергамо в Ломбардии.",
Думская.net,@dumskaya_net,27 мар. 2020 г.,В Одесской области - пятый заболевший COVID-19 http://dumskaya.net/t/111525 #odessa,
BáıgeNews.kz,@baigenewskz,27 мар. 2020 г.,Пять ограничительных мер введены в Шымкенте из-за COVID-19 – обращение акима Мурата Айтенова,
устала от жизни,@HgymsK,27 мар. 2020 г.,"Наша Россия удивительная страна, надеваешь маску и перчатки, едешь так в общественном транспорте чтобы обезопасить себя, а люди смотрят на тебя как на террориста.",
Maria,@marimu1985,27 мар. 2020 г.,В Германии зафиксирован самый высокий скачок смертности от COVID-19,
Злобночих Н.-П. (Nationalverräter),@fon_Shlange,27 мар. 2020 г.,В ответ ,
Церковное Обозрение,@church_review,27 мар. 2020 г.,Благотворительность УПЦ в условиях пандемии COVID-19: куда обращаться нуждающимся и реквизиты для оказания помощи (обновляется),
Ирина (+21),@skorohodik,27 мар. 2020 г.,В ответ ,
Sentinel #Україна,@You_are_Future,27 мар. 2020 г.,США обогнали Италию и Китай по количеству выявленных зараженных #коронавирус,#коронавирус
ОКО ПЛАНЕТЫ,@oko_planet_su,27 мар. 2020 г.,"Немедленно прекратить конфронтацию с Россией и снять санкции на фоне драматической ситуации в Европе из-за пандемии COVID-19 призвал власти ФРГ и ЕС депутат Бундестага, немецкий политик из партии &laquo;Левые&raquo; Александр Ной. https://oko-planet.su/politik/newsday/576502-nemeckiy-politik-prizval-prekratit-konfrontaciyu-s-rossiey-vo-vremya-pandemii.html…",
НИАCам,@NIASamr,27 мар. 2020 г.,"В России ответили на критику ""бесполезной"" помощи Италии https://niasam.ru/V_MIRE/V-Rossii-otvetili-na-kritiku-bespoleznoj-pomoschi-Italii148171.html…",
Ирина (+21),@skorohodik,27 мар. 2020 г.,Важно  ,
ZN.UA Зеркало недели,@zn_ua,27 мар. 2020 г.,"В Украине пять человек умерли от осложнений, вызванных коронавирусом",
ITkvariat,@ITkvariat,27 мар. 2020 г.,Intel выпустил обращение к своим партнерам и инвесторам в связи с COVID-19,
ZdravMedInfo,@ZdravMedInfo,27 мар. 2020 г.,В Нижегородской области стартовал скрининг на COVID-19 в передвижных пунктах http://zdravmedinfo.com/mednews.html?article=136211… #новости #медицина,
Серостанова Анжелика,@agny262,27 мар. 2020 г.,В ответ ,
Vitaliy,@Vitalik_vikhot,27 мар. 2020 г.,Просто хороші слова !!!,
Anna,@_auslanderin,27 мар. 2020 г.,"Здесь выкладывают переводы офиц. инструкций, документов, рекомендаций для анестезиологов и реаниматологов по лечению Covid-19. Можно также на телеграм подписаться: http://relaxandoit.ru/air",
Cобытия дня в России,@smnewsru,27 мар. 2020 г.,Мурманский губернатор обвинил в граждан бессознательности из-за новых случаев заражения,
Vadim Kolyada,@Vadimkomp,27 мар. 2020 г.,Dyson готовит к выпуску CoVent – аппарат искусственной вентиляции легких #dyson #covent #coronavirus #ИВЛ #коронавирус #Covid19 #технологии #великобритания http://irvispress.ru/novelty/james-dyson-comes-into-the-fight-with-the-epidemic/…,#covid #covid19 #коронавирус
Boris Крит,@Borisk221,27 мар. 2020 г.,В ответ ,
Товарищ 茶色,@Cristo_bravo,27 мар. 2020 г.,#COVIDー19 ,#covid
Sentinel #Україна,@You_are_Future,27 мар. 2020 г.,Свежая социология по #коронавирус в #Україна,#коронавирус
Original Trapstar,@Original_TRPSTR,27 мар. 2020 г.,"Covid-19 наглядно доказывает, что теория семи рукопожатий работает и множество жителей планеты заочно знакомы с тем самым китайцем, попробовавшим суп из летучей мыши.",
Диалог.UA,@Dialog_UA,27 мар. 2020 г.,"В Украине от COVID-19 вылечились трое жителей региона, где был зафиксирован первый случай коронавируса   https://dialog.ua/ukraine/203964_1585251379…",
RusNext РусскаяВесна,@rusnextru,27 мар. 2020 г.,"Пик заболеваемости коронавирусом в столице может наступить в середине — конце следующей недели, считает главный врач больницы в Коммунарке Денис Проценко. #Коронавирус #Коммунарка #РусскаяВесна #RusNext",#коронавирус
Интерфакс,@interfax_news,27 мар. 2020 г.,В московской мэрии рассказали о поимке больного COVID-19 c помощью уличных камер http://amp.gs/0ABC,
Ирина Шматкова,@Irinashmat1,27 мар. 2020 г.,Наступила глобальная самоизоляция. Сам себе зубной врач,
Интерфакс-Украина,@interfaxua,27 мар. 2020 г.,В Украине зафиксировано 196 случаев инфицированных коронавирусом,
amaraa,@amarcengel,27 мар. 2020 г.,В ответ ,
KP.RU - Ставрополь,@StavKP,27 мар. 2020 г.,"Во исполнение поручений Президента, прозвучавших в обращении к гражданам России в связи с коронавирусом, губернатор Старополья Владимир Владимиров принял принял ряд ограничительных мер:",
Татьяна Ларина,@Tatidara,27 мар. 2020 г.,Как #коронавирус воздействует на #организм #человека,#коронавирус
Sentinel #Україна,@You_are_Future,27 мар. 2020 г.,196 выявленных зараженных #коронавирус в #Україна ,#коронавирус
Морио из Онтарио,@KLANDAIK33,27 мар. 2020 г.,Эпл отложила выход нового айфона на декабрь. Походу новый айфон будет с бесконтактным термометром #коронавирус,#коронавирус
ТЕЛЕПРОПУСК,@TELEPROPUSK,27 мар. 2020 г.,Так вот в чём дело! ,
Amma Russia,@Amma_Russia,27 мар. 2020 г.,Видеообращение Аммы по поводу коронавируса Covid-19 https://youtu.be/62BOvKckpAs ,
Экспресс газета,@ExpressGazeta,27 мар. 2020 г.,У Игоря Николаева подозревают коронавирус,
Сергей Лебедев,@EdzXRb61wnOiyWp,27 мар. 2020 г.,Вот это по нашему!!! #коронавирус https://instagram.com/p/B-Nbq8TJCoA/?igshid=1xd5wvvqwugvd…,#коронавирус
beomgyu.,@seistark2611,27 мар. 2020 г.,"Надеюсь, что весь этот пиздец с #коронавирус ом скоро закончится. Но наблюдая за тем, как к этому относятся люди в нашей стране, верится с трудом.",#коронавирус
UcrotitelJidov,@IbragimKadyrov,27 мар. 2020 г.,Ассаламу Алайкум Вежарий-Йижарий!,
Тюльпанка,@operatsio,27 мар. 2020 г.,Мурашко: медики готовятся ко всем вариантам развития ситуации с COVID-19 — РТ на русском https://russian.rt.com/russia/news/732256-murashko-mediki-koronavirus…,
Ридус,@RidusNews,27 мар. 2020 г.,Число смертей от COVID-19 в мире превысило 20 тысяч,
Jenkers News (RUS),@jenkers_ru,27 мар. 2020 г.,Жена #Малкин'а обеспокоена недостаточными мерами по борьбе с #коронавирус'ом в России http://jenke.rs/i7OAm6,#коронавирус
Thomas Mutschler,@ThomasMutschler,27 мар. 2020 г.,В трех областях выявили новые случаи COVID-19 http://tinyurl.com/sahxrvd,
Сергей Лебедев,@EdzXRb61wnOiyWp,27 мар. 2020 г.,В продолжение темы как технологии помогают в борьбе с коронавирусом.,
loli_shoalex,@loli_shoalex,27 мар. 2020 г.,60-летний Игорь Николаев госпитализирован с подозрением на коронавирус #коронавирус #игорьниколаев #здоровье #артисты #сми,#коронавирус
Sentinel #Україна,@You_are_Future,27 мар. 2020 г.,Где и сколько аппаратов ИВЛ для лечения критических больных #коронавирус в #Україна,#коронавирус
Alla Sm,@Alla__Smirnova,27 мар. 2020 г.,"Вот как выглядит неконтролируемый имперский режим-изгой: министры иностранных дел, представляющие G-7 страны не смогли договориться о совместном заявлении о #коронавирус/е, потому что правительство США настаивало, чтобы его называли «вирусом Ухань» ",#коронавирус
Страхование в России,@insuranceru,27 мар. 2020 г.,COVID-19 в Киевской области — как обстоят дела в районах - Большой Киев,
Kovalenko Anastasia,@kovalenkoanast5,27 мар. 2020 г.,"Тейлор Свифт перечислила по $3000 фанатам, пострадавшим от кризиса из-за коронавируса",
Лепс,@Red_Foreigner,27 мар. 2020 г.,"Я делаю все, что в моих силах, чтобы содержать #COVID19. Я призываю вас сделать то же самое! https://staythefuckhome.com/ru/ #StayTheFuckHome",#covid #covid19
Новости дня AOinform,@aoinform,27 мар. 2020 г.,"В Италии медик покончила с собой из страха, что была разносчиком COVID-19 #италия #медик #суицид",
Кавказский Узел,@caucasianknot,27 мар. 2020 г.,Число зараженных коронавирусом в Чечне достигло 10.,
bugaga.ru,@bugaga_ru,27 мар. 2020 г.,"Кстати, как там антипрививочники поживают? ;)",
Arslan Markob,@aarlevian,27 мар. 2020 г.,Миф#10 Вакцины от гриппа и пневмонии могут защитить нас от коронавируса,
