Имя пользователя,Ссылка,Время,Текст,Хэштеги
ACHTUNG PARTISANEN,@EuropeanFront,21 апр. 2020 г.,В оксфордский словарь внесли изменения из-за влияния COVID-19 на язык https://achtungpartisanen.ru/v-oksfordskiy-slovar-vnesli-izmeneniya-iz-za-vliyaniya-covid-19-na-yazyk/…,
RossoshAdm,@RossoshAdm,21 апр. 2020 г., Поддержка бизнеса в условиях COVID-19,
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,Covid-19. Ученые нашли антитела у лам для борьбы с новым коронавирусом • Портал АНТИКОР https://antikor.com.ua/articles/374573-covid-19._uchenye_nashli_antitela_u_lam_dlja_borjby_s_novym_koronavirusom…,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,Еще одна пациента с #коронавирус'ом умерла в #Костромской области http://jenke.rs/Ol0t9P,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Расходы на лечение COVID-19 медучреждениям компенсируют за счет НСЗ http://zdravmedinfo.com/mednews.html?article=140630…  #новости #медицина,
Rich Peach,@RichPeach13,21 апр. 2020 г.,@sankldive,
Сделано в Германии,@DeHergestelltin,21 апр. 2020 г.,С сегодняшнего дня во многих Землях страны ввели обязательное ношение защитных масок в общественных местах. #германия #коронавирус,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,«Сбербанк» и DocDoc вслед за «Яндексом» начали проводить тесты на Covid-19 на дому  http://zdravmedinfo.com/mednews.html?article=140619…  #новости #медицина,
Белновости,@BelnovostiBy,21 апр. 2020 г.,"Идет набор. Стало известно, как Минобр Беларуси борется с COVID-19",
AA Macedonian,@aa_macedonian,21 апр. 2020 г.,#Мерките што #земјите #гипрезедоа во #борбата #против #Ковид-19 http://v.aa.com.tr/1812207,#ковид
Николай Асламов,@nikmichas,21 апр. 2020 г.,Практические советы по потиводействию коронавирусной инфекции Covid-19. https://nikhas.ru/korotkie-novosti/koronavirus-covid-19-prakticheskie-sovety-po-protivodejstviyu.html?_utl_t=tw…,
Иван Волков,@neuroivan,21 апр. 2020 г.,Посмотрите про #Covid19 интересно. https://instagram.com/tv/B_NdUoAHCsi/?igshid=1w5igqvzu5wk8…,#covid #covid19
bars-1@inbox.lv,@alvijans,21 апр. 2020 г.,Когда Латвия выйдет из кризиса COVID-19: экс-министр не согласен с оценкой МВФ:,
Аиша Наталия,@Aisha_natalia,21 апр. 2020 г.,Бггг у меня ничего не изменилось.),
Новости Беларуси,@_News_Belarus,21 апр. 2020 г.,Белорусы могут оценить онлайн риск инфицирования COVID-19,
Первый Крымский,@the1ru,21 апр. 2020 г.,В Севастополь после начала карантина приехало 13 тысяч человек https://firstcrimean.ru/news/sevastopol/127051-v-sevastopol-posle-nachala-karantina-priehalo-13-tysjach-chelovek.html…,
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"На дорогах Москвы 19 апреля было рекордно низкое количество автомобилей, сообщил городской департамент транспорта в своем Telegram-канале. #Москва #Коронавирус #РусскаяВесна #RusNext",#коронавирус
ТАСС,@tass_agency,21 апр. 2020 г.,,
Павел,@Ppavel13,21 апр. 2020 г.,"В Ровенской области коронавирус повторно выявили у пациентов, готовившихся к выписке",
WAM Russian,@wamnews_Russian,21 апр. 2020 г.,"Совет Фетвы Эмиратов обсуждает обновления, связанные с COVID-19, с точки зрения исламского права во время Рамадана https://ift.tt/2XQHGih #wamnews",
htpdzrjd,@htpdzrjd,21 апр. 2020 г.,Пациентка с COVID-19 записала пугающее видео из реанимации: https://ria.ru/20200323/1569034453.html…,
Долиев Михаил,@tov_makarov,21 апр. 2020 г.,Нас убивают! https://mikhail-doliev.livejournal.com/499294.html #коронавирус #экология #Астрахань,#коронавирус
Алексей Кириленко,@Kirilenko_a,21 апр. 2020 г.,"Человечество еще ожидают непростые испытания, связанные с коронавирусом COVID-19, заявил глава ВОЗ Тедрос Адханом Гебрейесус.",
InterMax,@IntermaxFun,21 апр. 2020 г.,В Житомирской области резко возросло количество случаев COVID-19 https://intermax.fun/v-zhitomirskoj-oblasti-rezko-vozroslo-kolichestvo-sluchaev-covid-19/…,
Сихів,@syhiv25,21 апр. 2020 г.,В Москве от COVID-19 умер начальник патрульно-постовой службы УВД по Западному округу,
10 квітня,@buch10_04,21 апр. 2020 г.,Правозащитники о COVID-19 в Крыму: «Официальные цифры не соответствуют действительности»,
Интерфакс-Украина,@interfaxua,21 апр. 2020 г.,"Число заболевших COVID-19 в вооруженных силах США превысило 5,3 тысяч",
Артур Шевцов,@Arthur_Shevtsov,21 апр. 2020 г.,С такими карантин будет вечный. #карантин2020 #covid-19,#covid #covid-19
UfaTime.ru,@UfaTime,21 апр. 2020 г.,Российский авторынок может упасть на 48% из-за COVID-19 http://ufatime.ru/news/2020/04/21/rossijskij-avtorynok-mozhet-upast-na-48-iz-za-covid-19/…,
ТОП Новости в режиме онлайн,@topnovosti_icu,21 апр. 2020 г.,Тест на антитела к COVID-19 зарегистрируют на следующей неделе,
Expat,@LonelyExpat_,21 апр. 2020 г.,"В воскресенье, проведя две недели на вентиляции, 5 летняя девочка из Детройта умерла.  положительный тест  на COVID-19 в марте и затем   редкая форма менингита и отек мозга",
ТОП Новости в режиме онлайн,@topnovosti_icu,21 апр. 2020 г.,Генпрокуратура проверит данные о вспышке COVID-19 в психбольнице Архангельска,
Новости дня AOinform,@aoinform,21 апр. 2020 г.,Как выглядит прославившийся на весь мир Институт вирусологии в Ухане: видео #институт_вирусологии #ухань #коронавирус https://aoinform.com/news/kak_vygljadit_proslavivshijsja_na_ves_mir_institut_virusologii_v_ukhane_video/2020-04-20-36855…,#коронавирус
Интерфакс-Украина,@interfaxua,21 апр. 2020 г.,44 новых случая инфицирования коронавирусом COVID-19  зафиксировали в Житомирской области – глава ОГА,
Александр Яневский (Alex Yanevskyy),@yanevskyy,21 апр. 2020 г.,Эксперты – об американской  помощи странам бывшего СССР в борьбе с COVID-19 https://golos-ameriki.ru/a/usa-cis-help/5380604.html…,
Стахий Афанасьев,@stahy_ss,21 апр. 2020 г.,Немецкие ученые о COVID-19. Крематории в  Китае. https://youtu.be/10mR_5qXCYU с помощью ,
Кино Гуру,@kinogooru,21 апр. 2020 г.,"""Бэтмен"" Мэтта Ривза, ""Шазам! 2"" и ""Флэш"" сменили дату премьеры из-за COVID-19",
presshub_ru,@presshubeu,21 апр. 2020 г.,"Новосибирск  [interfax]  #Российский ученый предупредил, что лесные пожары могут ухудшить ситуацию с  #Covid-19",#covid #covid-19
Recipe.Ru,@recipe_news,21 апр. 2020 г.,"Ученые выяснили, почему люди с лишним весом хуже переносят Covid-19 https://recipe.ru/?p=333778 #медицина #фармация #здоровье",
Коммерсантъ,@kommersant,21 апр. 2020 г.,"20 апреля президент России Владимир Путин провел совещание, посвященное санитарно-эпидемиологической обстановке в стране. На нем сначала выяснилось, что в ближайшее время вакцина против COVID-19 не появится.",
Gays UA,@gays_ua,21 апр. 2020 г.,Из-за карантина английский гей может видеть новорожденную дочь лишь на экране смартфона #COVID-19 #родительство #США https://gays-ua.com/world/iz-za-karantina-anglijskij-gej-mozhet-videt-novorozhdennuyu-doch-lish-na-ekrane-smartfona…,#covid #covid-19
BodikSky,@Bodik_Sky,21 апр. 2020 г.,"Очень интересно жить в 2к20, пожары Австралии, саранча Африки,  Китайский Covid-19, чуть ли не война между США и Ираном, протесты в России, цена на нефть в -40$(больше чем бесплатно). 2020 жги дальше! !",
Эксклюзив,@GazetaRu_Extra,21 апр. 2020 г.,Индекс паники: как вырос спрос на страховку от COVID-19 #новости http://gazeta.ru/business/2020/04/20/13056229.shtml?utm_source=google&utm_medium=banner&utm_campaign=exclusive_article…,
proekt_zhit,@ProektZhit,21 апр. 2020 г.,Вдохновляйтесь его примером и берегите себя,
Мистер Zeragon,@ZeragonOfficial,21 апр. 2020 г.,"Меня же не одного бесит, что разработчики до сих пор не пофиксили этот новый вирус?",
proekt_zhit,@ProektZhit,21 апр. 2020 г.,"Доброта живёт в каждом человеке. Медсестры сделали очень благородное дело, позаботившись о самых маленьких своих пациентах",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Эксперт рассказал о сроках доклинических исследований вакцины от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140903…,
Игорь Максимов,@01infas,21 апр. 2020 г.,Блокбастер мирового закулисья: «Тесты на COVID-19 оказались заражены!» | InfoRuss https://inforuss.info/blokbaster-mirovogo-zakulisya/?_utl_t=tw…,
Alex,@Fotostopumor,21 апр. 2020 г.,#COVID19 #COVIDー19 ,#covid #covid19
htpdzrjd,@htpdzrjd,21 апр. 2020 г.,"Протестовавшие против карантина американцы пополнили статистику распространения COVID-19 | News Front | Новости: России, Украины, Сирии и Мира. Новости Новороссии (ЛНР, ДНР)",
proekt_zhit,@ProektZhit,21 апр. 2020 г.,"Спасибо всем учителями, что не теряют веру в своих учеников и продолжают совершенствовать из знания, даже находясь на карантине",
Vegatur,@vegatur1,21 апр. 2020 г.,"Медики из Китая и США предупредили о действии #коронавирус-а . Есть серьезные опасения того, что полное выздоровление невозможно, пишет The Jerusalem Post.",#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Путин обсудит изменение нормативной базы для создания вакцины от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140902…,
Vladyslav Mazur,@VladyslavMazur,21 апр. 2020 г.,Что происходит дальше —- Великобритания:,
real Anarchist,@veganarch,21 апр. 2020 г.,"С началом #COVID в Эстонии, благодаря заботе государства о здоровье граждан, пенсионные накопления в онлайн банке стали отображаться с минусом. Народ почему-то недоумевал. Сразу надо было конвертировать в баррели #WTI и не сеять панику среди будущих нефтяных магнатов.",#covid
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"По последним данным, заболевание коронавирусом в вооруженных силах США выявлено уже у 5335 человек, сообщил в понедельник Пентагон. #Коронавирус #РусскаяВесна #RusNext",#коронавирус
Сиб.фм,@sibfm,21 апр. 2020 г.,"В Новосибирске увеличилось количество заражённых и погибших от коронавируса, а всё больше пациентов инфекционной больницы — дети; последние новости о COVID-19 в регионе — в материале Сиб.фм.https://sib.fm/news/2020/04/21/koronavirus-v-novosibirske-situatsiya-k-21-aprelya…",
Новости NewsTes,@xpshiscoa,21 апр. 2020 г.,В Ираке объяснили исторический обвал цен на нефть ситуацией с COVID-19  https://newstes.ru/2020/04/20/v-irake-objasnili-istoricheskij-obval-cen-na-neft-situaciej-s-covid-19.html…,
Tursunbay Bakir uulu,@bakiruulu,21 апр. 2020 г.,Ударим юмором по #coronavirus!,
Анатолий Власов,@AnatolyVlasov87,21 апр. 2020 г.,"Прыгуны во Владикавказе такие ДБ что МЕСЯЦ дома просидеть не могут. Я бы этих существ рискующими чужими жизнями, в случае заражения COVID-19 отправил на изоляцию за решетку без лечения. Они недостойны сил и здоровья медиков. Иммунитет скакуна пусть один решает судьбу хозяина.",
Сергей,@hXyJN7vQmaL2UDJ,21 апр. 2020 г.,#COVID #COVID19 #Короновирус ,#covid #covid19
Mongolia in Canada,@MongoliaCanada,21 апр. 2020 г.,"2020/4/20-нд COVID-19 тархалт  Канададын Бритиш Колумби 1647, Алберта 2803",
Мой Киев,@MyKiev_net,21 апр. 2020 г.,Кабмин назвал дату пика заболеваемости COVID-19 в Украине - https://mykiev.net/kiev-news/kabmin-nazval-datu-pika-zabolevaemosti-covid-19-v-ukraine/… #Киев #Новости #Украина,
RusDozorRu,@rusdozor_ru,21 апр. 2020 г.,В Париже вирус COVID-19 обнаружен в системе с технической водой,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,ИБХ РАН приступил к разработке вакцины против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140870… #новости #фармация,
Tarasyq Rybachow,@ratamau,21 апр. 2020 г.,Тут Кавказ https://salatau.livejournal.com/9886974.html #коронавирус,#коронавирус
Marie Claire Russia,@MarieClaire_ru,21 апр. 2020 г.,Самую заманчивую инициативу в помощь борьбе с COVID-19 предложили Мила Кунис и Эштон Кутчер: возлюбленные начинают выпускать «карантинное вино» совместно с винодельней Battle Creek Vineyards  Авторская бутылочка Pinot Noir от звездной пары стоит $2…,
Ardo,@Ardo_rin,21 апр. 2020 г.,Актуально на 20 апреля 22:23,
IRISHA VINNITSKAYA,@IRISHAVIN,21 апр. 2020 г.,В Минобороны расследуют сомнительный контракт с китайцами на закупку средств защиты от COVID-19 • ... https://antikor.com.ua/articles/374559-v_minoborony_rassledujut_somniteljnyj_kontrakt_s_kitajtsami_na_zakupku_sredstv_zashchity_ot_covid-19…,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,«Биоком» перепрофилировал мощности под выпуск гидроксихлорохина от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140846… #новости #фармация,
Коммерсантъ,@kommersant,21 апр. 2020 г.,"Британского премьер-министра Бориса Джонсона обвинили в том, что Соединенное Королевство не подготовилось к эпидемии COVID-19, поскольку в начале года он пропустил сразу пять экстренных встреч по коронавирусу. Правительство вынуждено было выпустить …",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,"Производителям продукции, направленной на борьбу с COVID-19, выдано более 10 млрд рублей http://zdravmedinfo.com/pharmnews.html?article=140808… #новости #фармация",
kremenchug.ua,@kremen_ua,21 апр. 2020 г.,В Кременчуге появились ещё две санитарные зоны — …  https://kremenchug.ua/news/health/50588-v-kremenchuge-pojavilis-esche-dve-sanitarnye-zony-11-i-12.html…,
IT обозрение,@itoboz_com,21 апр. 2020 г.,Спидраннеры собрали $400 тысяч на благотворительном марафоне против COVID-19 - https://itoboz.com/games/spidrannery-sobrali-400-tysyach-na-blagotvoritelnom-marafone-protiv-covid-19/… #IT #софт #игры #смартфоны,
Ольга Яковалева,@quitrilag87,21 апр. 2020 г.,Специалист указал на странности COVID-19,
СеверПост,@_SeverPost_,21 апр. 2020 г.,В Мурманской области 403 человека больны коронавирусом,
dylxn,@DylxnsFederal,21 апр. 2020 г.,Онлайн-карты распространения COVID-19 зафиксировали необычные аномалии - https://voshod.org/videochanel/broadcasts/onlajn-karty-rasprostranenija-covid-19-zafiksirovali-neobychnye-anomalii/…,
ARDinform: новости,@ardinform,21 апр. 2020 г.,Саммит Восточного партнерства отложили - СМИ #саммит #восточное_партнерство #коронавирус,#коронавирус
СТАРХИТ | STARHIT,@Starhit_online,21 апр. 2020 г.,Александра Васильева выписали из Коммунарки #александрвасильев #коронавирус https://starhit.ru/novosti/aleksandra-vasileva-vyipisali-iz-kommunarki-209025/…,#коронавирус
5.ua: новости Украины и мира,@5channel_ru,21 апр. 2020 г.,"В Испании закрыли отделение госпиталя, который построили для лечения больных COVID-19 https://5.ua/ru/myr/v-yspanyy-zakrily-otdelenye-hospytalia-kotorii-postroyly-dlia-lechenyia-bolnikh-covid-19-213121.html…",
Интернет-издание 47news.ru,@47News_ru,21 апр. 2020 г.,Скворцова: Рост числа тяжелых случаев COVID-19  остановился  https://47news.ru/articles/172970/?utm_source=novapress&utm_campaign=tw…,
Говорящие новости,@NSN_fm,21 апр. 2020 г.,Врачи Северной Осетии заявили о нарастающем числе поступлений пациентов с COVID-19 и переполненных реанимациях,
Бен Тавенер,@bentavener_ru,21 апр. 2020 г.,"#Коронавирус: количество смертей от Covid-19 в британских больницах снижается второй день - 596 вчера, 449 сегодня. Правда, иногда данные поступают с задержкой после выходных, но будем надеяться, что действительно идёт на спад. Завтрашние цифры должны это показать.",#коронавирус
Игорь Коротченко,@i_korotchenko,21 апр. 2020 г.,Мишустин разрешил беспошлинный ввоз медицинских товаров для борьбы с COVID-19,
Irinamixnovic,@irinamixnovic,21 апр. 2020 г.,ДляМинздрав разработал рекомендации по погребению умерших пациентов с COVID-19 https://sputnik.by/health/20200420/1044493919/Minzdrav-razrabotal-rekomendatsii-po-pogrebeniyu-umershikh-patsientov-s-COVID-19.html…,
Интерфакс,@interfax_news,21 апр. 2020 г.,В Чили начнут выдавать специальные свидетельства выздоровевшим от COVID-19,
Сергей Иванов,@Steonn_SA,21 апр. 2020 г.,"Кроме того, ранее в информации из официальных источников сообщалось, что в Роспотребнадзоре контрольные тесты осуществляют диагностику не только covid-19, но и всех вирусных возбудителей, которые наиболее широко вызывают осложнения в виде пневмоний",
WemBoMusic,@wembomusic,21 апр. 2020 г.,#коронавирус #кризис #США #Китай,#коронавирус
Мобил Гуру,@mgoo_ru,21 апр. 2020 г.,"""Бэтмен"" Мэтта Ривза, ""Шазам! 2"" и ""Флэш"" сменили дату премьеры из-за COVID-19",
zhaniura,@zhaniura,21 апр. 2020 г.,"Пандемия COVID-19 может подтолкнуть человечество на новый уровень технологий. Ведь те инновации, которые еще совсем недавно казались символом далекого будущего, сейчас оказываются необходимыми, чтобы победить вирус.",
Anti-XBOCT,@AntiXBOCT,21 апр. 2020 г.,Это уже клиника! Да пошли эти новости про #Коронавирус куда подальше! Совсем уже язык без костей!,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,NIH разработали новую программу по исследованиям препаратов против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140967… #новости #фармация,
Oleg Weitman,@oleg_weitman,21 апр. 2020 г.,Коронавирусный паралич,
"Коммерсантъ FM 93,6",@KFM936,21 апр. 2020 г.,"Число больных COVID-19 на промплощадке ""НОВАТЭКа"" под Мурманском за сутки выросло на 9% до 317 человек",
Зануда aka Птаха,@centrflava,21 апр. 2020 г.,Друзья не забывайте о гигиене !!!  ,
UkrTime,@UkrtimeNet,21 апр. 2020 г.,Twitter: Германия и Австралия требуют от КНР рассказать правду о COVID-19 https://ukrtime.net/?p=145418,
Смотрящий за #потери #всрф,@TwiSuppotr,21 апр. 2020 г.,"Учёные нашли причину, по которой COVID-19 протекает тяжелее у людей с ожирением.",
Новости Беларуси,@belnovosti2020,21 апр. 2020 г.,Минздрав в понедельник вернулся к привычному формату общения с гражданами и дал исчерпывающую статистику о выявленных случаях COVID-19 в Беларуси.,
Пятый канал Новости,@5tv,21 апр. 2020 г.,,
Интерфакс,@interfax_news,21 апр. 2020 г.,"Число заболевших COVID-19 в ВС США превысило 5,3 тысяч",
«Коммерсантъ» Казань,@kommersant_kzn,21 апр. 2020 г.,На предприятиях Татарстана обнаружили очаги распространения коронавируса,
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,Жители Чечни и востоковеды сочли оправданным призыв муфтия не пускать женщин на похороны.,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,В Ульяновской области к ИВЛ подключили зараженного #коронавирус'ом ребенка http://jenke.rs/Ep25Yu,#коронавирус
Думская.net,@dumskaya_net,21 апр. 2020 г.,"COVID-19 в Одесской области: уже 144 случая заражения, а в Подольск планируют ввести Нацгвардию http://dumskaya.net/t/113329 #odessa",
novostey.com,@novosteycom,21 апр. 2020 г.,В Москве от COVID-19 умер начальник патрульно-постовой службы УВД по Западному округу http://novostey.com/politic/news900338.html… #ua,
monavista_ru,@monavista_ru,21 апр. 2020 г.,"Доктор Мясников узнал по анализам, что уже ранее переболел COVID-19 https://monavista.ru/article/149502/",
ANADOLU AGENCY (RU),@aa_russian,21 апр. 2020 г.,#Казахстан помогает соседям в борьбе с #Covid19 http://v.aa.com.tr/1812183,#covid #covid19
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Власти Индии потребовали запастись препаратами для интенсивной терапии COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140806… #новости #фармация,
Golosinfo: новости,@golosinfocom,21 апр. 2020 г.,Вспышка коронавируса. Почаев закрывают на въезд и выезд #коронавирус #почаев #въезд,#коронавирус
Салия Вапиева,@SaliyaVapieva,21 апр. 2020 г.,"Коронавирус и COVID-19: или объективность победит миф, или миф победит Р... https://youtu.be/9ecUH2-Mu8k с помощью ",
IBTimes.ru,@IbtimesRUS,21 апр. 2020 г.,Скворцова объяснила появление более 6 тыс. новых пациентов с COVID-19 :: Общество :: РБК,
inopressa.ru,@Inopressa_all,21 апр. 2020 г.,В Италии снизилось число зараженных COVID-19 - впервые с начала пандемии,
РБК,@ru_rbc,21 апр. 2020 г.,"При благополучном исходе пик заболеваемости коронавирусом COVID-19 в России произойдет в начале мая или раньше, после чего наступит плато, считают в Роспотребнадзоре",
механик Зелёный,@Nonpalpabilis,21 апр. 2020 г.,В ответ ,
Центр ПРИСП,@prispinfo,21 апр. 2020 г.,Фейки о коронавирусе как новое политическое оружие,
Jake Sokolov,@Jake_Sokolov,21 апр. 2020 г.,В ответ ,
Горячая линия ДНР,@HotlineDNR,21 апр. 2020 г.,Вокруг коронавируса: главное за 20 апреля,
Николай Бобровский,@NNBobrovskiy,21 апр. 2020 г.,Борьба с COVID-19 в ожидании нового Трофима Лысенко: https://rosbalt.ru/blogs/2020/04/20/1839287.html…,
Genetic Group,@GeneticSet,21 апр. 2020 г.,У геймеров появился шанс помочь ученым в борьбе с COVID-19. Это уже срабатывало с другими исследованиями,
ФлУдИлКа и Ко,@fludperm,21 апр. 2020 г.,#COVID19 #интернет #коронавирус #соцсети,#covid #covid19 #коронавирус
InterMax,@IntermaxFun,21 апр. 2020 г.,Эрдоган вводит комендантский час в Турции на четыре дня в борьбе против Covid-19 https://intermax.fun/erdogan-vvodit-komendantskij-chas-v-turczii-na-chetyre-dnya-v-borbe-protiv-covid-19/…,
Russian Question #RQ,@Ru_Fed,21 апр. 2020 г.,#СМИ: Жители Владикавказа и Ростова вышли на митинги против самоизоляции,
Киев City,@kyivcity_net,21 апр. 2020 г.,Кабмин назвал дату пика заболеваемости COVID-19 в Украине - https://kyivcity.net/kiev/kabmin-nazval-datu-pika-zabolevaemosti-covid-19-v-ukraine/… #Киев #Новости #Украина,
Вечерний Курьер,@VKsmiru,21 апр. 2020 г.,Американской системе здравоохранения предрекают крах из-за зараженных COVID-19 детей https://vk-smi.ru/zdorove/170222,
Интерфакс,@interfax_news,21 апр. 2020 г.,Главврач петербургской больницы спрогнозировал спад COVID-19 в РФ не раньше июля,
Ридус,@RidusNews,21 апр. 2020 г.,В Турции снова ввели комендантский час из-за COVID-19,
IBTimes.ru,@IbtimesRUS,21 апр. 2020 г.,Мишустин разрешил беспошлинный ввоз медицинских товаров для борьбы с COVID-19,
Радыё Свабода,@svaboda,21 апр. 2020 г.,COVID-19: Беларусь прайграе Чэхіі,
MediaMetrics,@mediametrics_ru,21 апр. 2020 г.,pnp: Путин поручил Минздраву проработать ускорение регистрации вакцины от COVID-19 https://mediametrics.ru/rating/ru/hour.html?article=103045859…,
Canal 3,@canal3md,21 апр. 2020 г.,ЕЩЕ ТРИ ЖЕРТВЫ COVID-19... - http://canal3.md/ru/97666,
вої,@znay_pravdu,21 апр. 2020 г.,Назван главный способ подхватить COVID-19: общественные места ни при чем https://uaznaypravdu.livejournal.com/29756058.html,
Российский Диалог.RU,@RusDialogRU,21 апр. 2020 г.,В Северной Осетии предсказали резкий рост числа зараженных COVID-19 после митинга против изоляции  https://rusdialog.ru/russia/197828_1587408537…,
Курск Друг для друга,@dddkursk,21 апр. 2020 г.,Курянам разъяснили порядок посещения дач http://dddkursk.ru/lenta/2020/04/20/060340/…,
павел,@pavel_bogema,21 апр. 2020 г.,Продаем современое надежное защитное обмундирование ,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,Европа создает единую платформу данных о #COVID-19 http://jenke.rs/Gv98Cm,#covid #covid-19
unikalnyj_vladelets_ksyaomi,@klopuhu,21 апр. 2020 г.,"Только что ехал в автобусе домой. На одной из спинок кресла заметил наклейку с надписью ""шкуровоз"". Хотел сфотать, залить в инсту, но в этот момент на то кресло сел как-то чел, поэтому сфотать не удалось",
лексеич,@AlexeichNo1,21 апр. 2020 г.,"А где-то есть информация не только о количестве выписанных штрафов, но кому и как оказывает помощь полиция? ",
RuNews24.ru Новости,@runews24ru,21 апр. 2020 г.,В петербургской академии ВМА обнаружена вспышка COVID-19,
Мировые новости. Взгляд из Донецка.,@cubinec08,21 апр. 2020 г.,#Крым  ,
Степан,@Dv30Kcs,21 апр. 2020 г.,"В России ситуация с заболеваемостью COVID-19 при благополучном исходе достигнет пика в начале мая, а затем наступит плато. Об этом сказал советник директора по научной работе Центрального НИИ эпидемиологии Роспотребнадзора Виктор Малеев",
Луки.ру,@luki_ru,21 апр. 2020 г.,В Псковской области в рамках борьбы с COVID-19 запретили работу «наливаек» http://luki.ru/n584905,
IBTimes.ru,@IbtimesRUS,21 апр. 2020 г.,"Скворцова считает, что Россия недалека от пика заболеваемости COVID-19",
htpdzrjd,@htpdzrjd,21 апр. 2020 г.,"""Легкие хрустят"": пациенты с COVID-19 рассказали о первых симптомах: https://ria.ru/20200420/1570278119.html…",
Высота102,@v102ru,21 апр. 2020 г.,COVID-19 везут в Волгоградскую область из Москвы https://v102.ru/news/87774.html #волгоградновости #оперштаб #инфекция #контакты #обследования #сидимдома #рост #заболевшие #Волгоград,
евгений зоркин,@minarch91,21 апр. 2020 г.,"Блокбастер мирового закулисья: «Осторожно, тест на COVID-19 заражен!»: https://eadaily.com/ru/news/2020/04/20/blokbaster-mirovogo-zakulisya-ostorozhno-test-na-covid-19-zarazhen… с помощью ",
ИА REGNUM,@IA_REGNUM,21 апр. 2020 г.,Так ли страшен COVID-19 и кто заинтересован в панике? – все новости https://regnum.ru/news/2919961,
Mackenna Gold,@Bromber45356308,21 апр. 2020 г.,«#Эпидемия во время диктатуры». Сенсанционный фильм о #коронавирус'е в #Беларусь...#Витебск Нет ни масок нет ничего...#Лукашкнко.. врачи медсестры умирают...диагноз короны скрывают.. https://youtu.be/2bP_iuV4OOs #Россия #Москва #Дашкевич,#коронавирус
DixiNews,@DixiNews,21 апр. 2020 г.,Кабмин упростил ввоз медицинских товаров в страну,
✪˵ω˵✪Danil✪˵ω˵✪,@Danil56286271,21 апр. 2020 г.,"Итааак....сидишь дома, никого не трогаешь, в прямом смысле, изолировался ото всех, НО.....",
nuainua,@nuainuanuainua,21 апр. 2020 г.,Пандемия COVID-19 в мире на 20 апреля: число смертей в США превысило 40 тысяч,
Новая Газета,@novaya_gazeta,21 апр. 2020 г.,"«Новая» выяснила, на какие препараты рассчитывают в России при борьбе с COVID-19, — это и обычные антибиотики, и собственные российские разработки. ",
ИА REGNUM,@IA_REGNUM,21 апр. 2020 г.,Мишустин упростил беспошлинный ввоз в медтоваров для борьбы с COVID-19 https://regnum.ru/news/2923135,
smilefun,@SmileFunRu,21 апр. 2020 г.,На бывшей площадке ПМЭФ «Ленэкспо» откроют госпиталь для больных COVID-19 Один из павильонов выставочног https://smilefun.ru/2020/04/20/na-byvshei-ploshadke-pmef-lenekspo-otkrout-gospital-dlia-bolnyh-covid-19/…,
AA Macedonian,@aa_macedonian,21 апр. 2020 г.,Во #ВеликаБританија од #Ковид-19 #починаа 16.509 #лица http://v.aa.com.tr/1812144,#ковид
Илюфка,@PProtiv_Putina,21 апр. 2020 г.,"Спустя неделю все таки начал заниматься дома... встал с дивана и сразу потемнело в глазах, ладно, завтра начну:::))))) #COVIDー19 #коронавирус #спорт",#covid #коронавирус
Xabar.uz,@xabaruzofficial,21 апр. 2020 г.,Хитойлик олимлар COVID-19 вакцинаси синовдан ўтганини эълон қилишди,
Farid Mammadov,@FaridAdiloglu,21 апр. 2020 г.,Цена нефти WTI впервые в истории стала отрицательной,
Octopus_Vittоld.,@vitpat68,21 апр. 2020 г.,.... и тебя вылечим. COVID_19,
Business FM,@Radio_BFM,21 апр. 2020 г.,Мишустин разрешил беспошлинный ввоз в РФ товаров для борьбы с COVID-19,
The New Times,@the_newtimes,21 апр. 2020 г.,COVID-19 довел до митингов,
Aleks,@AleksFleks,21 апр. 2020 г.,Скворцова: RU до мая выйдет на плато заболеваемости Covid-19 // Подробнее на сайте https://kommersant.ru/doc/4327048,
